RTE85386.1	BHE90_000001
RTE75112.1	BHE90_010446
RTE75113.1	BHE90_010447
RTE75105.1	BHE90_010448
RTE75106.1	BHE90_010449
RTE75100.1	BHE90_010450
RTE75099.1	BHE90_010451
RTE75101.1	BHE90_010452
RTE75079.1	BHE90_010453
RTE75081.1	BHE90_010454
RTE75080.1	BHE90_010455
RTE75083.1	BHE90_010456
RTE75082.1	BHE90_010457
RTE75078.1	BHE90_010458
RTE75089.1	BHE90_010459
RTE75084.1	BHE90_010460
RTE75085.1	BHE90_010461
RTE75092.1	BHE90_010462
RTE75093.1	BHE90_010463
RTE75086.1	BHE90_010464
RTE75087.1	BHE90_010465
RTE75088.1	BHE90_010466
RTE75094.1	BHE90_010467
RTE75090.1	BHE90_010468
RTE75091.1	BHE90_010469
RTE75076.1	BHE90_010470
RTE75075.1	BHE90_010471
RTE75074.1	BHE90_010472
RTE75073.1	BHE90_010473
RTE75077.1	BHE90_010474
RTE85159.1	BHE90_000198
RTE85158.1	BHE90_000199
RTE85217.1	BHE90_000200
RTE85216.1	BHE90_000201
RTE85219.1	BHE90_000202
RTE85218.1	BHE90_000203
RTE85213.1	BHE90_000204
RTE85212.1	BHE90_000205
RTE85215.1	BHE90_000206
RTE85214.1	BHE90_000207
RTE85211.1	BHE90_000208
RTE85210.1	BHE90_000209
RTE85123.1	BHE90_000210
RTE85124.1	BHE90_000211
RTE85121.1	BHE90_000212
RTE85122.1	BHE90_000213
RTE85127.1	BHE90_000215
RTE85125.1	BHE90_000216
RTE85126.1	BHE90_000217
RTE85128.1	BHE90_000218
RTE85129.1	BHE90_000219
RTE85207.1	BHE90_000220
RTE85206.1	BHE90_000221
RTE85160.1	BHE90_000222
RTE85205.1	BHE90_000223
RTE85204.1	BHE90_000224
RTE85203.1	BHE90_000225
RTE85202.1	BHE90_000226
RTE85201.1	BHE90_000227
RTE85209.1	BHE90_000228
RTE85208.1	BHE90_000229
RTE85110.1	BHE90_000230
RTE85111.1	BHE90_000231
RTE85112.1	BHE90_000232
RTE85113.1	BHE90_000233
RTE85106.1	BHE90_000234
RTE85107.1	BHE90_000235
RTE85108.1	BHE90_000236
RTE85109.1	BHE90_000237
RTE85114.1	BHE90_000238
RTE85115.1	BHE90_000239
RTE85231.1	BHE90_000240
RTE85230.1	BHE90_000241
RTE85233.1	BHE90_000242
RTE85232.1	BHE90_000243
RTE85235.1	BHE90_000244
RTE85234.1	BHE90_000245
RTE85237.1	BHE90_000246
RTE85236.1	BHE90_000247
RTE85239.1	BHE90_000248
RTE85238.1	BHE90_000249
RTE85146.1	BHE90_000250
RTE85147.1	BHE90_000251
RTE85144.1	BHE90_000252
RTE85145.1	BHE90_000253
RTE85142.1	BHE90_000254
RTE85143.1	BHE90_000255
RTE85140.1	BHE90_000256
RTE85141.1	BHE90_000257
RTE85148.1	BHE90_000258
RTE85149.1	BHE90_000259
RTE85225.1	BHE90_000260
RTE85224.1	BHE90_000261
RTE85223.1	BHE90_000262
RTE85222.1	BHE90_000263
RTE85229.1	BHE90_000264
RTE85228.1	BHE90_000265
RTE85227.1	BHE90_000266
RTE85226.1	BHE90_000267
RTE85221.1	BHE90_000268
RTE85220.1	BHE90_000269
RTE85132.1	BHE90_000270
RTE85133.1	BHE90_000271
RTE85134.1	BHE90_000272
RTE85135.1	BHE90_000273
RTE85136.1	BHE90_000274
RTE85137.1	BHE90_000275
RTE85138.1	BHE90_000276
RTE85139.1	BHE90_000277
RTE85130.1	BHE90_000278
RTE85131.1	BHE90_000279
RTE85191.1	BHE90_000280
RTE85190.1	BHE90_000281
RTE85193.1	BHE90_000282
RTE85192.1	BHE90_000283
RTE85187.1	BHE90_000284
RTE85186.1	BHE90_000285
RTE85189.1	BHE90_000286
RTE85188.1	BHE90_000287
RTE85195.1	BHE90_000288
RTE85194.1	BHE90_000289
RTE85090.1	BHE90_000290
RTE85091.1	BHE90_000291
RTE85088.1	BHE90_000292
RTE85089.1	BHE90_000293
RTE85094.1	BHE90_000294
RTE85095.1	BHE90_000295
RTE85092.1	BHE90_000296
RTE85093.1	BHE90_000297
RTE85086.1	BHE90_000298
RTE85087.1	BHE90_000299
RTE85161.1	BHE90_000300
RTE85162.1	BHE90_000301
RTE85120.1	BHE90_000302
RTE85163.1	BHE90_000303
RTE85116.1	BHE90_000304
RTE85117.1	BHE90_000305
RTE85118.1	BHE90_000306
RTE85119.1	BHE90_000307
RTE85164.1	BHE90_000308
RTE85165.1	BHE90_000309
RTE85156.1	BHE90_000310
RTE85157.1	BHE90_000311
RTE85155.1	BHE90_000312
RTE85154.1	BHE90_000313
RTE85153.1	BHE90_000314
RTE85152.1	BHE90_000315
RTE85151.1	BHE90_000316
RTE85150.1	BHE90_000317
RTE85075.1	BHE90_000318
RTE85074.1	BHE90_000319
RTE85168.1	BHE90_000320
RTE85169.1	BHE90_000321
RTE85166.1	BHE90_000322
RTE85167.1	BHE90_000323
RTE85172.1	BHE90_000324
RTE85173.1	BHE90_000325
RTE85170.1	BHE90_000326
RTE85171.1	BHE90_000327
RTE85174.1	BHE90_000328
RTE85175.1	BHE90_000329
RTE85083.1	BHE90_000330
RTE85082.1	BHE90_000331
RTE85085.1	BHE90_000332
RTE85084.1	BHE90_000333
RTE85079.1	BHE90_000334
RTE85078.1	BHE90_000335
RTE85081.1	BHE90_000336
RTE85080.1	BHE90_000337
RTE85077.1	BHE90_000338
RTE85076.1	BHE90_000339
RTE85178.1	BHE90_000340
RTE85179.1	BHE90_000341
RTE85180.1	BHE90_000342
RTE85181.1	BHE90_000343
RTE85182.1	BHE90_000344
RTE85183.1	BHE90_000345
RTE85184.1	BHE90_000346
RTE85185.1	BHE90_000347
RTE85176.1	BHE90_000348
RTE85177.1	BHE90_000349
RTE85101.1	BHE90_000350
RTE85100.1	BHE90_000351
RTE85099.1	BHE90_000352
RTE85098.1	BHE90_000353
RTE85105.1	BHE90_000354
RTE85104.1	BHE90_000355
RTE85103.1	BHE90_000356
RTE85102.1	BHE90_000357
RTE85097.1	BHE90_000358
RTE85096.1	BHE90_000359
RTE85199.1	BHE90_000360
RTE85200.1	BHE90_000361
RTE85197.1	BHE90_000362
RTE85198.1	BHE90_000363
RTE85196.1	BHE90_000364
RTE83006.1	BHE90_002389
RTE83058.1	BHE90_002390
RTE83057.1	BHE90_002391
RTE83060.1	BHE90_002392
RTE83059.1	BHE90_002393
RTE83062.1	BHE90_002394
RTE83061.1	BHE90_002395
RTE83064.1	BHE90_002396
RTE83063.1	BHE90_002397
RTE83066.1	BHE90_002398
RTE83065.1	BHE90_002399
RTE83068.1	BHE90_002400
RTE83067.1	BHE90_002401
RTE83070.1	BHE90_002402
RTE83069.1	BHE90_002403
RTE83072.1	BHE90_002404
RTE83071.1	BHE90_002405
RTE83074.1	BHE90_002406
RTE83073.1	BHE90_002407
RTE83076.1	BHE90_002408
RTE83075.1	BHE90_002409
RTE83013.1	BHE90_002410
RTE83014.1	BHE90_002411
RTE83011.1	BHE90_002412
RTE83012.1	BHE90_002413
RTE83009.1	BHE90_002414
RTE83010.1	BHE90_002415
RTE83007.1	BHE90_002416
RTE83008.1	BHE90_002417
RTE83015.1	BHE90_002418
RTE83016.1	BHE90_002419
RTE83052.1	BHE90_002420
RTE83051.1	BHE90_002421
RTE83050.1	BHE90_002422
RTE83049.1	BHE90_002423
RTE83056.1	BHE90_002424
RTE83055.1	BHE90_002425
RTE83054.1	BHE90_002426
RTE83053.1	BHE90_002427
RTE83048.1	BHE90_002428
RTE83047.1	BHE90_002429
RTE82998.1	BHE90_002430
RTE82999.1	BHE90_002431
RTE83000.1	BHE90_002432
RTE83001.1	BHE90_002433
RTE83002.1	BHE90_002434
RTE83003.1	BHE90_002435
RTE83004.1	BHE90_002436
RTE83005.1	BHE90_002437
RTE82996.1	BHE90_002438
RTE82997.1	BHE90_002439
RTE83044.1	BHE90_002440
RTE83043.1	BHE90_002441
RTE83046.1	BHE90_002442
RTE83045.1	BHE90_002443
RTE83040.1	BHE90_002444
RTE83039.1	BHE90_002445
RTE83042.1	BHE90_002446
RTE83041.1	BHE90_002447
RTE83038.1	BHE90_002448
RTE83037.1	BHE90_002449
RTE82988.1	BHE90_002450
RTE82989.1	BHE90_002451
RTE82986.1	BHE90_002452
RTE82987.1	BHE90_002453
RTE82992.1	BHE90_002454
RTE82993.1	BHE90_002455
RTE82990.1	BHE90_002456
RTE82991.1	BHE90_002457
RTE82994.1	BHE90_002458
RTE82995.1	BHE90_002459
RTE83034.1	BHE90_002460
RTE83033.1	BHE90_002461
RTE83032.1	BHE90_002462
RTE83031.1	BHE90_002463
RTE83030.1	BHE90_002464
RTE83029.1	BHE90_002465
RTE83028.1	BHE90_002466
RTE83027.1	BHE90_002467
RTE83036.1	BHE90_002468
RTE83035.1	BHE90_002469
RTE82980.1	BHE90_002470
RTE82981.1	BHE90_002471
RTE82982.1	BHE90_002472
RTE82983.1	BHE90_002473
RTE82976.1	BHE90_002474
RTE82977.1	BHE90_002475
RTE82978.1	BHE90_002476
RTE82979.1	BHE90_002477
RTE82984.1	BHE90_002478
RTE82985.1	BHE90_002479
RTE83020.1	BHE90_002480
RTE83019.1	BHE90_002481
RTE83022.1	BHE90_002482
RTE83021.1	BHE90_002483
RTE83024.1	BHE90_002484
RTE83023.1	BHE90_002485
RTE83026.1	BHE90_002486
RTE83025.1	BHE90_002487
RTE83018.1	BHE90_002488
RTE83017.1	BHE90_002489
RTE75038.1	BHE90_010475
RTE75037.1	BHE90_010476
RTE75036.1	BHE90_010477
RTE75040.1	BHE90_010478
RTE75039.1	BHE90_010479
RTE75057.1	BHE90_010480
RTE75058.1	BHE90_010481
RTE75055.1	BHE90_010482
RTE75056.1	BHE90_010483
RTE75061.1	BHE90_010484
RTE75062.1	BHE90_010485
RTE75059.1	BHE90_010486
RTE75060.1	BHE90_010487
RTE75063.1	BHE90_010488
RTE75064.1	BHE90_010489
RTE75044.1	BHE90_010490
RTE75043.1	BHE90_010491
RTE75046.1	BHE90_010492
RTE75045.1	BHE90_010493
RTE75053.1	BHE90_010494
RTE75052.1	BHE90_010495
RTE75042.1	BHE90_010496
RTE75041.1	BHE90_010497
RTE75051.1	BHE90_010498
RTE75050.1	BHE90_010499
RTE75066.1	BHE90_010500
RTE75065.1	BHE90_010501
RTE75054.1	BHE90_010502
RTE75070.1	BHE90_010504
RTE75069.1	BHE90_010505
RTE75068.1	BHE90_010506
RTE75067.1	BHE90_010507
RTE75072.1	BHE90_010508
RTE75071.1	BHE90_010509
RTE75047.1	BHE90_010510
RTE75048.1	BHE90_010511
RTE75049.1	BHE90_010512
RTE75005.1	BHE90_010513
RTE75006.1	BHE90_010514
RTE75007.1	BHE90_010515
RTE75008.1	BHE90_010516
RTE75009.1	BHE90_010517
RTE75010.1	BHE90_010518
RTE75016.1	BHE90_010519
RTE75025.1	BHE90_010520
RTE75024.1	BHE90_010521
RTE75027.1	BHE90_010522
RTE75026.1	BHE90_010523
RTE75029.1	BHE90_010524
RTE75028.1	BHE90_010525
RTE75031.1	BHE90_010526
RTE75030.1	BHE90_010527
RTE75023.1	BHE90_010529
RTE75014.1	BHE90_010530
RTE75015.1	BHE90_010531
RTE75012.1	BHE90_010532
RTE75013.1	BHE90_010533
RTE75018.1	BHE90_010534
RTE75019.1	BHE90_010535
RTE75011.1	BHE90_010536
RTE75017.1	BHE90_010538
RTE75020.1	BHE90_010539
RTE75035.1	BHE90_010540
RTE75022.1	BHE90_010541
RTE75021.1	BHE90_010542
RTE75034.1	BHE90_010543
RTE75033.1	BHE90_010544
RTE75032.1	BHE90_010545
RTE75004.1	BHE90_010546
RTE75003.1	BHE90_010547
RTE75002.1	BHE90_010548
RTE74986.1	BHE90_010549
RTE74999.1	BHE90_010550
RTE75000.1	BHE90_010551
RTE75001.1	BHE90_010552
RTE74985.1	BHE90_010553
RTE74996.1	BHE90_010554
RTE74984.1	BHE90_010555
RTE74997.1	BHE90_010556
RTE74998.1	BHE90_010557
RTE74977.1	BHE90_010558
RTE74978.1	BHE90_010559
RTE74983.1	BHE90_010560
RTE74991.1	BHE90_010561
RTE74993.1	BHE90_010562
RTE74992.1	BHE90_010563
RTE74988.1	BHE90_010564
RTE74987.1	BHE90_010565
RTE74990.1	BHE90_010566
RTE74989.1	BHE90_010567
RTE74995.1	BHE90_010568
RTE74994.1	BHE90_010569
RTE74981.1	BHE90_010570
RTE74982.1	BHE90_010571
RTE74979.1	BHE90_010572
RTE74980.1	BHE90_010573
RTE74952.1	BHE90_010574
RTE74953.1	BHE90_010575
RTE74950.1	BHE90_010576
RTE74951.1	BHE90_010577
RTE74948.1	BHE90_010578
RTE74949.1	BHE90_010579
RTE74954.1	BHE90_010580
RTE74974.1	BHE90_010581
RTE74973.1	BHE90_010582
RTE74972.1	BHE90_010583
RTE74969.1	BHE90_010584
RTE74955.1	BHE90_010585
RTE74975.1	BHE90_010586
RTE74970.1	BHE90_010587
RTE74971.1	BHE90_010588
RTE74976.1	BHE90_010589
RTE74959.1	BHE90_010590
RTE74960.1	BHE90_010591
RTE74961.1	BHE90_010592
RTE74956.1	BHE90_010593
RTE74962.1	BHE90_010594
RTE74963.1	BHE90_010595
RTE74964.1	BHE90_010596
RTE74965.1	BHE90_010597
RTE74957.1	BHE90_010598
RTE74958.1	BHE90_010599
RTE74966.1	BHE90_010600
RTE74967.1	BHE90_010601
RTE74968.1	BHE90_010602
RTE74933.1	BHE90_010603
RTE74934.1	BHE90_010604
RTE74935.1	BHE90_010605
RTE74936.1	BHE90_010606
RTE74937.1	BHE90_010607
RTE74931.1	BHE90_010608
RTE74932.1	BHE90_010609
RTE74924.1	BHE90_010610
RTE74923.1	BHE90_010611
RTE74922.1	BHE90_010612
RTE74921.1	BHE90_010613
RTE74928.1	BHE90_010614
RTE74927.1	BHE90_010615
RTE74926.1	BHE90_010616
RTE74925.1	BHE90_010617
RTE74920.1	BHE90_010618
RTE74919.1	BHE90_010619
RTE74943.1	BHE90_010620
RTE74944.1	BHE90_010621
RTE74941.1	BHE90_010622
RTE74942.1	BHE90_010623
RTE74947.1	BHE90_010624
RTE74940.1	BHE90_010625
RTE74938.1	BHE90_010626
RTE74939.1	BHE90_010627
RTE74945.1	BHE90_010628
RTE74946.1	BHE90_010629
RTE74930.1	BHE90_010630
RTE74929.1	BHE90_010631
RTE74902.1	BHE90_010632
RTE74901.1	BHE90_010633
RTE74904.1	BHE90_010634
RTE74903.1	BHE90_010635
RTE74906.1	BHE90_010636
RTE74905.1	BHE90_010637
RTE74908.1	BHE90_010638
RTE74907.1	BHE90_010639
RTE74912.1	BHE90_010640
RTE74913.1	BHE90_010641
RTE74914.1	BHE90_010642
RTE74915.1	BHE90_010643
RTE74909.1	BHE90_010644
RTE74910.1	BHE90_010645
RTE74911.1	BHE90_010646
RTE74918.1	BHE90_010647
RTE74916.1	BHE90_010648
RTE74917.1	BHE90_010649
RTE74898.1	BHE90_010650
RTE74897.1	BHE90_010651
RTE74896.1	BHE90_010652
RTE74895.1	BHE90_010653
RTE74894.1	BHE90_010654
RTE74893.1	BHE90_010655
RTE74892.1	BHE90_010656
RTE74891.1	BHE90_010657
RTE74900.1	BHE90_010658
RTE74899.1	BHE90_010659
RTE74874.1	BHE90_010660
RTE74871.1	BHE90_010661
RTE74872.1	BHE90_010662
RTE74873.1	BHE90_010663
RTE74877.1	BHE90_010664
RTE74878.1	BHE90_010665
RTE74875.1	BHE90_010666
RTE74876.1	BHE90_010667
RTE74879.1	BHE90_010668
RTE74880.1	BHE90_010669
RTE74867.1	BHE90_010670
RTE74866.1	BHE90_010671
RTE74869.1	BHE90_010672
RTE74868.1	BHE90_010673
RTE74864.1	BHE90_010674
RTE74863.1	BHE90_010675
RTE74865.1	BHE90_010676
RTE74862.1	BHE90_010678
RTE74861.1	BHE90_010679
RTE74881.1	BHE90_010680
RTE74882.1	BHE90_010681
RTE74886.1	BHE90_010682
RTE74887.1	BHE90_010683
RTE74883.1	BHE90_010684
RTE74884.1	BHE90_010685
RTE74888.1	BHE90_010686
RTE74885.1	BHE90_010687
RTE74889.1	BHE90_010688
RTE74890.1	BHE90_010689
RTE74870.1	BHE90_010690
RTE74839.1	BHE90_010691
RTE74838.1	BHE90_010692
RTE74837.1	BHE90_010693
RTE74842.1	BHE90_010694
RTE74843.1	BHE90_010695
RTE74841.1	BHE90_010696
RTE74840.1	BHE90_010697
RTE74860.1	BHE90_010698
RTE74859.1	BHE90_010699
RTE74851.1	BHE90_010700
RTE74850.1	BHE90_010701
RTE74853.1	BHE90_010702
RTE74852.1	BHE90_010703
RTE74833.1	BHE90_010704
RTE74854.1	BHE90_010705
RTE74856.1	BHE90_010706
RTE74855.1	BHE90_010707
RTE74858.1	BHE90_010708
RTE74857.1	BHE90_010709
RTE74848.1	BHE90_010710
RTE74849.1	BHE90_010711
RTE74834.1	BHE90_010712
RTE74835.1	BHE90_010713
RTE74846.1	BHE90_010714
RTE74847.1	BHE90_010715
RTE74844.1	BHE90_010716
RTE74845.1	BHE90_010717
RTE74836.1	BHE90_010718
RTE74818.1	BHE90_010719
RTE74831.1	BHE90_010720
RTE74827.1	BHE90_010721
RTE74832.1	BHE90_010722
RTE74826.1	BHE90_010723
RTE74817.1	BHE90_010724
RTE74830.1	BHE90_010725
RTE74829.1	BHE90_010726
RTE74828.1	BHE90_010727
RTE74816.1	BHE90_010728
RTE74825.1	BHE90_010729
RTE74809.1	BHE90_010730
RTE74810.1	BHE90_010731
RTE74811.1	BHE90_010732
RTE74812.1	BHE90_010733
RTE74813.1	BHE90_010734
RTE74814.1	BHE90_010735
RTE74819.1	BHE90_010736
RTE74815.1	BHE90_010737
RTE74807.1	BHE90_010738
RTE74808.1	BHE90_010739
RTE74822.1	BHE90_010740
RTE74821.1	BHE90_010741
RTE74824.1	BHE90_010742
RTE74823.1	BHE90_010743
RTE74820.1	BHE90_010744
RTE74803.1	BHE90_010745
RTE74805.1	BHE90_010746
RTE74804.1	BHE90_010747
RTE74802.1	BHE90_010748
RTE74801.1	BHE90_010749
RTE74782.1	BHE90_010750
RTE74783.1	BHE90_010751
RTE74806.1	BHE90_010752
RTE74779.1	BHE90_010753
RTE74785.1	BHE90_010754
RTE74792.1	BHE90_010755
RTE74784.1	BHE90_010756
RTE74795.1	BHE90_010757
RTE74793.1	BHE90_010758
RTE74780.1	BHE90_010759
RTE74794.1	BHE90_010760
RTE74789.1	BHE90_010761
RTE74788.1	BHE90_010762
RTE74800.1	BHE90_010763
RTE74799.1	BHE90_010764
RTE74798.1	BHE90_010765
RTE74797.1	BHE90_010766
RTE74796.1	BHE90_010767
RTE74791.1	BHE90_010768
RTE74790.1	BHE90_010769
RTE74786.1	BHE90_010770
RTE74787.1	BHE90_010771
RTE74781.1	BHE90_010772
RTE82931.1	BHE90_002490
RTE82929.1	BHE90_002492
RTE82930.1	BHE90_002493
RTE82927.1	BHE90_002494
RTE82928.1	BHE90_002495
RTE82925.1	BHE90_002496
RTE82926.1	BHE90_002497
RTE82923.1	BHE90_002498
RTE82924.1	BHE90_002499
RTE82958.1	BHE90_002500
RTE82959.1	BHE90_002501
RTE82960.1	BHE90_002502
RTE82961.1	BHE90_002503
RTE82962.1	BHE90_002504
RTE82963.1	BHE90_002505
RTE82964.1	BHE90_002506
RTE82965.1	BHE90_002507
RTE82956.1	BHE90_002508
RTE82957.1	BHE90_002509
RTE82909.1	BHE90_002510
RTE82908.1	BHE90_002511
RTE82907.1	BHE90_002512
RTE82906.1	BHE90_002513
RTE82912.1	BHE90_002514
RTE82911.1	BHE90_002516
RTE82910.1	BHE90_002517
RTE82905.1	BHE90_002518
RTE82904.1	BHE90_002519
RTE82972.1	BHE90_002520
RTE82973.1	BHE90_002521
RTE82970.1	BHE90_002522
RTE82971.1	BHE90_002523
RTE82968.1	BHE90_002524
RTE82969.1	BHE90_002525
RTE82966.1	BHE90_002526
RTE82967.1	BHE90_002527
RTE82974.1	BHE90_002528
RTE82975.1	BHE90_002529
RTE82914.1	BHE90_002530
RTE82913.1	BHE90_002531
RTE82916.1	BHE90_002532
RTE82915.1	BHE90_002533
RTE82918.1	BHE90_002534
RTE82917.1	BHE90_002535
RTE82920.1	BHE90_002536
RTE82919.1	BHE90_002537
RTE82922.1	BHE90_002538
RTE82921.1	BHE90_002539
RTE82940.1	BHE90_002540
RTE82941.1	BHE90_002541
RTE82942.1	BHE90_002542
RTE82943.1	BHE90_002543
RTE82936.1	BHE90_002544
RTE82937.1	BHE90_002545
RTE82938.1	BHE90_002546
RTE82939.1	BHE90_002547
RTE82944.1	BHE90_002548
RTE82945.1	BHE90_002549
RTE82891.1	BHE90_002550
RTE82890.1	BHE90_002551
RTE82889.1	BHE90_002552
RTE82888.1	BHE90_002553
RTE82887.1	BHE90_002554
RTE82886.1	BHE90_002555
RTE82885.1	BHE90_002556
RTE82884.1	BHE90_002557
RTE82893.1	BHE90_002558
RTE82892.1	BHE90_002559
RTE82948.1	BHE90_002560
RTE82949.1	BHE90_002561
RTE82946.1	BHE90_002562
RTE82947.1	BHE90_002563
RTE82952.1	BHE90_002564
RTE82953.1	BHE90_002565
RTE82950.1	BHE90_002566
RTE82951.1	BHE90_002567
RTE82954.1	BHE90_002568
RTE82955.1	BHE90_002569
RTE82901.1	BHE90_002570
RTE82900.1	BHE90_002571
RTE82903.1	BHE90_002572
RTE82902.1	BHE90_002573
RTE82897.1	BHE90_002574
RTE82896.1	BHE90_002575
RTE82899.1	BHE90_002576
RTE82898.1	BHE90_002577
RTE82895.1	BHE90_002578
RTE82894.1	BHE90_002579
RTE82932.1	BHE90_002580
RTE82933.1	BHE90_002581
RTE82934.1	BHE90_002582
RTE82935.1	BHE90_002583
RTE74768.1	BHE90_010773
RTE74765.1	BHE90_010774
RTE74766.1	BHE90_010775
RTE74767.1	BHE90_010776
RTE74769.1	BHE90_010777
RTE74761.1	BHE90_010778
RTE74762.1	BHE90_010779
RTE74760.1	BHE90_010780
RTE74774.1	BHE90_010781
RTE74776.1	BHE90_010782
RTE74775.1	BHE90_010783
RTE74777.1	BHE90_010784
RTE74770.1	BHE90_010785
RTE74771.1	BHE90_010786
RTE74778.1	BHE90_010787
RTE74773.1	BHE90_010788
RTE74772.1	BHE90_010789
RTE74759.1	BHE90_010790
RTE74764.1	BHE90_010791
RTE74763.1	BHE90_010792
RTE74758.1	BHE90_010793
RTE74730.1	BHE90_010794
RTE74731.1	BHE90_010795
RTE74728.1	BHE90_010796
RTE74729.1	BHE90_010797
RTE74727.1	BHE90_010798
RTE74732.1	BHE90_010799
RTE74745.1	BHE90_010800
RTE74746.1	BHE90_010801
RTE74743.1	BHE90_010802
RTE74744.1	BHE90_010803
RTE74741.1	BHE90_010804
RTE74742.1	BHE90_010805
RTE74739.1	BHE90_010806
RTE74740.1	BHE90_010807
RTE74750.1	BHE90_010808
RTE74747.1	BHE90_010809
RTE74752.1	BHE90_010810
RTE74751.1	BHE90_010811
RTE74748.1	BHE90_010812
RTE74753.1	BHE90_010813
RTE74749.1	BHE90_010814
RTE74754.1	BHE90_010815
RTE74756.1	BHE90_010816
RTE74755.1	BHE90_010817
RTE74733.1	BHE90_010818
RTE74757.1	BHE90_010819
RTE74734.1	BHE90_010820
RTE74735.1	BHE90_010821
RTE74736.1	BHE90_010822
RTE74737.1	BHE90_010823
RTE74738.1	BHE90_010824
RTE74706.1	BHE90_010825
RTE74707.1	BHE90_010826
RTE74708.1	BHE90_010827
RTE74704.1	BHE90_010828
RTE74705.1	BHE90_010829
RTE74710.1	BHE90_010830
RTE74723.1	BHE90_010831
RTE74709.1	BHE90_010832
RTE74722.1	BHE90_010833
RTE74695.1	BHE90_010834
RTE74725.1	BHE90_010835
RTE74711.1	BHE90_010836
RTE74724.1	BHE90_010837
RTE74694.1	BHE90_010838
RTE74721.1	BHE90_010839
RTE74698.1	BHE90_010840
RTE74699.1	BHE90_010841
RTE74696.1	BHE90_010842
RTE74697.1	BHE90_010843
RTE74701.1	BHE90_010844
RTE74702.1	BHE90_010845
RTE74700.1	BHE90_010846
RTE74712.1	BHE90_010847
RTE74703.1	BHE90_010848
RTE74726.1	BHE90_010849
RTE74718.1	BHE90_010850
RTE74717.1	BHE90_010851
RTE74720.1	BHE90_010852
RTE74719.1	BHE90_010853
RTE74714.1	BHE90_010854
RTE74713.1	BHE90_010855
RTE74716.1	BHE90_010856
RTE74715.1	BHE90_010857
RTE74683.1	BHE90_010858
RTE74682.1	BHE90_010859
RTE74690.1	BHE90_010860
RTE74678.1	BHE90_010861
RTE74691.1	BHE90_010862
RTE74692.1	BHE90_010863
RTE74688.1	BHE90_010864
RTE74689.1	BHE90_010865
RTE74676.1	BHE90_010866
RTE74677.1	BHE90_010867
RTE74675.1	BHE90_010868
RTE74684.1	BHE90_010869
RTE74674.1	BHE90_010870
RTE74673.1	BHE90_010871
RTE74672.1	BHE90_010872
RTE74687.1	BHE90_010873
RTE74671.1	BHE90_010874
RTE74670.1	BHE90_010875
RTE74686.1	BHE90_010876
RTE74685.1	BHE90_010877
RTE74681.1	BHE90_010878
RTE74680.1	BHE90_010879
RTE74693.1	BHE90_010880
RTE74679.1	BHE90_010881
RTE74661.1	BHE90_010882
RTE74662.1	BHE90_010883
RTE74658.1	BHE90_010884
RTE74660.1	BHE90_010885
RTE74669.1	BHE90_010886
RTE74659.1	BHE90_010887
RTE74648.1	BHE90_010888
RTE74649.1	BHE90_010889
RTE74652.1	BHE90_010890
RTE74639.1	BHE90_010891
RTE74653.1	BHE90_010892
RTE74664.1	BHE90_010893
RTE74655.1	BHE90_010894
RTE74654.1	BHE90_010895
RTE74656.1	BHE90_010896
RTE74665.1	BHE90_010897
RTE74663.1	BHE90_010898
RTE74651.1	BHE90_010899
RTE74645.1	BHE90_010900
RTE74657.1	BHE90_010901
RTE74644.1	BHE90_010902
RTE74650.1	BHE90_010903
RTE74647.1	BHE90_010904
RTE74646.1	BHE90_010905
RTE74643.1	BHE90_010906
RTE74642.1	BHE90_010907
RTE74641.1	BHE90_010908
RTE74640.1	BHE90_010909
RTE74666.1	BHE90_010910
RTE74667.1	BHE90_010911
RTE74668.1	BHE90_010912
RTE74631.1	BHE90_010913
RTE74637.1	BHE90_010914
RTE74638.1	BHE90_010915
RTE74630.1	BHE90_010916
RTE74606.1	BHE90_010917
RTE74635.1	BHE90_010918
RTE74636.1	BHE90_010919
RTE74622.1	BHE90_010920
RTE74621.1	BHE90_010921
RTE74624.1	BHE90_010922
RTE74623.1	BHE90_010923
RTE74620.1	BHE90_010924
RTE74619.1	BHE90_010925
RTE74616.1	BHE90_010926
RTE74612.1	BHE90_010927
RTE74618.1	BHE90_010928
RTE74625.1	BHE90_010929
RTE74609.1	BHE90_010930
RTE74610.1	BHE90_010931
RTE74607.1	BHE90_010932
RTE74608.1	BHE90_010933
RTE74614.1	BHE90_010934
RTE74615.1	BHE90_010935
RTE74611.1	BHE90_010936
RTE74613.1	BHE90_010937
RTE74632.1	BHE90_010938
RTE74633.1	BHE90_010939
RTE74627.1	BHE90_010940
RTE74626.1	BHE90_010941
RTE74617.1	BHE90_010942
RTE74634.1	BHE90_010943
RTE74629.1	BHE90_010944
RTE74628.1	BHE90_010945
RTE74587.1	BHE90_010946
RTE74586.1	BHE90_010947
RTE74581.1	BHE90_010948
RTE74580.1	BHE90_010949
RTE74598.1	BHE90_010950
RTE74588.1	BHE90_010951
RTE74589.1	BHE90_010952
RTE74591.1	BHE90_010953
RTE74592.1	BHE90_010954
RTE74579.1	BHE90_010955
RTE74601.1	BHE90_010956
RTE74602.1	BHE90_010957
RTE74599.1	BHE90_010958
RTE74600.1	BHE90_010959
RTE74594.1	BHE90_010960
RTE74582.1	BHE90_010961
RTE74596.1	BHE90_010962
RTE74595.1	BHE90_010963
RTE74584.1	BHE90_010964
